1	2	3	4	5	6	7	8	9	10	11
2019-06-28	"1,177.04"	"1,136.56"	"1,168.10"	"1,145.50"	"1,170.68"	"1,144.14"	"1,156.80"	-1.40	4.25238	1.0000
2019-06-27	"1,178.46"	"1,137.94"	"1,169.50"	"1,146.90"	"1,172.09"	"1,145.54"	"1,158.20"	3.50	4.25238	1.0000
2019-06-26	"1,174.90"	"1,134.50"	"1,166.00"	"1,143.40"	"1,168.55"	"1,142.04"	"1,154.70"	-3.20	4.25413	1.0000
2019-06-25	"1,178.16"	"1,137.64"	"1,169.20"	"1,146.60"	"1,171.79"	"1,145.24"	"1,157.90"	-4.10	4.25175	1.0000
2019-06-24	"1,182.33"	"1,141.67"	"1,173.30"	"1,150.70"	"1,175.94"	"1,149.33"	"1,162.00"	-5.70	4.25438	1.0000
2019-06-21	"1,188.13"	"1,147.27"	"1,179.10"	"1,156.30"	"1,181.71"	"1,154.93"	"1,167.70"	-9.30	4.25363	1.0000
2019-06-20	"1,197.59"	"1,156.41"	"1,188.50"	"1,165.50"	"1,191.12"	"1,164.12"	"1,177.00"	-8.00	4.23338	1.0000
2019-06-19	"1,205.73"	"1,164.27"	"1,196.60"	"1,173.40"	"1,199.22"	"1,172.01"	"1,185.00"	-1.30	4.23288	1.0000
2019-06-18	"1,207.06"	"1,165.54"	"1,197.90"	"1,174.70"	"1,200.53"	"1,173.31"	"1,186.30"	2.30	4.24025	1.0000
2019-06-17	"1,204.72"	"1,163.28"	"1,195.60"	"1,172.40"	"1,198.20"	"1,171.01"	"1,184.00"	-0.70	4.23175	1.0000
2019-06-14	"1,205.43"	"1,163.97"	"1,196.30"	"1,173.10"	"1,198.91"	"1,171.71"	"1,184.70"	3.00	4.24425	1.0000
2019-06-13	"1,202.37"	"1,161.03"	"1,193.20"	"1,170.20"	"1,195.88"	"1,168.81"	"1,181.70"	0.00	4.25113	1.0000
2019-06-12	"1,202.37"	"1,161.03"	"1,193.20"	"1,170.20"	"1,195.88"	"1,168.81"	"1,181.70"	-2.30	4.26063	1.0000
